TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
New Orleans Pelicans,3,3,0,1,48,109,43.3,85.7,50.6,10.3,25,41.3,12,16,75,7.7,35.7,43.3,26,14,9.3,6.7,4.3,19,18,9.3
Golden State Warriors,3,3,0,1,48,113,42.3,80.3,52.7,11.7,28.3,41.2,16.7,20,83.3,6.7,36.3,43,30,13.3,6.3,6,3.7,19.3,20.7,16.3
Houston Rockets,2,2,0,1,48,103,37,89.5,41.3,13,44.5,29.2,16,22,72.7,10,35.5,45.5,18.5,10,8,8.5,4.5,18,17.5,11.5
Boston Celtics,3,2,1,0.667,49.7,108.3,39.7,88,45.1,10.7,27,39.5,18.3,24.3,75.3,12.3,30.3,42.7,20.3,13.3,7,4.3,8.3,17.3,25.7,-1.3
Indiana Pacers,3,2,1,0.667,48,95.7,37,76.7,48.3,8.3,25.3,32.9,13.3,19,70.2,6.7,32.3,39,19.3,16,9.3,3.3,3,22,21.7,5.7
Toronto Raptors,3,2,1,0.667,48,115.7,41,82,50,13.7,31,44.1,20,24,83.3,7.3,32.7,40,23.3,16.7,6.3,6.3,4.7,21.3,22,0
Philadelphia 76ers,3,2,1,0.667,48,120.3,42,90.7,46.3,14.3,32.7,43.9,22,29.3,75,13.3,33.3,46.7,28,12.7,8.7,4.7,7.3,25,27.3,12.3
Oklahoma City Thunder,2,1,1,0.5,48,105.5,38.5,87.5,44,12.5,32,39.1,16,20.5,78,9.5,36.5,46,19,15,9.5,4.5,5,22,20,0.5
Utah Jazz,2,1,1,0.5,48,105,38,85.5,44.4,10,28.5,35.1,19,26.5,71.7,12,37,49,20,15,9.5,5,4.5,20,22,-0.5
Cleveland Cavaliers,3,1,2,0.333,48,90,33.7,76,44.3,9.7,31.3,30.9,13,19.3,67.2,8,29.3,37.3,17.7,16.3,8.7,3,3.3,21.7,22,-5.7
Milwaukee Bucks,3,1,2,0.333,49.7,109.7,43.7,79.7,54.8,10.3,23.7,43.7,12,18.7,64.3,6.3,32.7,39,23,14.7,6.3,8.3,4.3,25.7,17.3,1.3
Miami Heat,3,1,2,0.333,48,108,36,77.3,46.6,12.3,28,44,23.7,32,74,8.3,32.3,40.7,24.7,16,6.3,7.3,4.7,27.3,25,-12.3
Washington Wizards,3,1,2,0.333,48,115.7,43.3,85.7,50.6,9.3,22,42.4,19.7,22,89.4,5.7,30.3,36,28,12,9.3,4.7,6.3,22,21.3,0
Minnesota Timberwolves,2,0,2,0,48,91.5,33,80,41.3,6.5,20.5,31.7,19,24.5,77.6,10,39.5,49.5,18.5,15,5,4.5,8.5,17.5,18,-11.5
Portland Trail Blazers,3,0,3,0,48,99.7,38.3,89.7,42.8,11,34,32.4,12,15.7,76.6,13,34,47,18.7,17.3,8.3,4.3,6.7,18,19,-9.3
San Antonio Spurs,3,0,3,0,48,96.7,34.7,84,41.3,6.7,27.7,24.1,20.7,24.7,83.8,7.3,28,35.3,18,11.3,9,3.7,6,20.7,19.3,-16.3
