TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Chicago Bulls,19,15,4,0.789,49.3,92.5,34.7,80.2,43.2,6.1,19.2,31.9,17.1,23.2,73.5,14.9,28.6,43.5,20.7,12.4,8.5,4.8,4.2,24.3,8.6,5.5
Utah Jazz,20,13,7,0.65,49.9,96.1,33.7,74.5,45.2,5,13.5,36.7,23.8,30.4,78.4,11.4,30.4,41.8,21.8,13.4,7.4,4.9,5.7,24.8,10.9,3.3
New York Knicks,10,6,4,0.6,49.8,91.2,34.3,73.5,46.7,5.5,14.8,37.2,17.1,22.2,77,9.7,29.8,39.5,21.1,15.7,8.7,3.5,4.9,23.4,11.5,1.7
Houston Rockets,16,9,7,0.563,49.7,101.3,35.3,77.1,45.8,8.9,24.5,36.2,21.8,28.4,76.7,12.3,29.3,41.5,23.1,15.2,7.7,4.4,4.2,21.9,9.8,1.8
Seattle SuperSonics,12,6,6,0.5,50.6,105.1,36.8,82.8,44.4,8.3,21.8,38.3,23.3,28.5,81.6,13.9,28.8,42.8,23.4,13.6,10.2,4.1,4.1,23.5,10.4,4.5
Miami Heat,17,8,9,0.471,49.6,85.9,29.5,72.1,40.9,8.4,23.8,35.1,18.5,26.8,69.2,11.1,30.2,41.3,17.2,16.2,6.7,5.1,4.4,22.4,9.2,0.2
Los Angeles Lakers,9,4,5,0.444,50.7,95.2,32.2,72.1,44.7,4.9,15.2,32.1,25.9,35,74,11.2,27.7,38.9,20.6,13.3,6.8,6.1,5.3,26.6,10.7,1.1
Detroit Pistons,5,2,3,0.4,49.9,85.6,32.4,74.8,43.3,5.6,17,32.9,15.2,19.8,76.8,8.6,23.2,31.8,13.6,9.6,7,2.4,4.6,20.2,10.8,-2
Orlando Magic,5,2,3,0.4,49.7,84.2,29.8,73,40.8,5.8,18,32.2,18.8,25.2,74.6,9.6,28,37.6,13.2,12.4,6.4,5.2,5.6,19,10,-7.8
Phoenix Suns,5,2,3,0.4,50.6,100.2,34.4,82.6,41.6,10.2,29,35.2,21.2,27.8,76.3,10,30.4,40.4,22.8,16.2,8.2,5.2,4.8,22,13.4,-12.6
Atlanta Hawks,10,4,6,0.4,49.5,89,30.9,70.8,43.6,6.9,21.9,31.5,20.3,26.1,77.8,11,29,40,15.4,16.1,4.5,4.3,3.5,20,9.9,-2.9
Portland Trail Blazers,4,1,3,0.25,50.4,89.8,32.8,73,44.9,4.5,17,26.5,19.8,27.3,72.5,11.8,25.3,37,19.8,15.5,5.5,4.3,5.3,28.8,12.5,-7
Washington Bullets,3,0,3,0,50.4,95,34,71.7,47.4,4.3,10.3,41.9,22.7,29,78.2,11.3,24.3,35.7,17,18.7,4.7,6.3,4.3,25.7,16.7,-6
Los Angeles Clippers,3,0,3,0,50.9,92.3,32.7,75,43.6,6,18,33.3,21,28.7,73.3,10.3,23,33.3,16.3,12,6.7,4.3,5.3,29,18.3,-12.7
Charlotte Hornets,3,0,3,0,50.1,95.7,36.3,80.3,45.2,6.3,17,37.3,16.7,20.7,80.6,12.7,24.3,37,18.3,13.3,6.7,3,3.3,21,12,-8.7
Minnesota Timberwolves,3,0,3,0,49.8,99.7,40,88.7,45.1,6.3,16.7,38,13.3,18,74.1,14,24.7,38.7,24,9.3,7.7,4,4,23.3,14,-11.3
